role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,17,Female,Jafarabad,Nagar,weekly,technology can help students to solve their problems,it enhnace learning,,Yes,No,it provide  us everything promptly,Yes,become part of our life day by day,Yes,Yes,technology needs us to develop critical thinking,Yes,Yes,Yes,Yes,LEDs and lectures are important ,,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Parent,42,Male,Nagar Khas,Nagar,rarely,technology can greatly support the learning objectives of primary school in various ways,primary education can creat more effective learnng envirnoment through technology,"waste of time, mental illness",Yes,Yes,effective method is educationals apps and programs tailored to their academic needs,Yes,,No,No,"yes by playing games,problem skills and improvement",Yes,No,No,No,"laptop, screen an multimedia",,slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Male,Jafarabad,Nagar,monthly,providing interactive and engaging learning experience,"enhanced engagement, experience and motivation",technical issues; managing hardware and software problems,Yes,Yes,,Yes,,Yes,No,"coding and robotic programs, maths and logic games, that encourage and support students",Yes,Yes,Yes,Yes,"virtual and augmented reality tools, mental health and wellness resources ",technology can create customized kearning materials,extremely,Yes,No,Yes,No,Positive,Negative,Positive,Positive,Positive
Teacher,28,Female,Rural ,Nagar ,daily,"Learning objectives achieved by technological usage 
","Better improvement in students learning 
","Electricity and internet issues 
",No,No,Yes at wide range ,Yes,Positive and negative impacts both ,No,Yes,"providing suitable internet access 
",No,Yes,No,No,"Usage of technology and other resources for teachers development  of lectures 

","Technology should be used in primary section 
",slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,32,Female,Jafarabad,Nagar,several times a week,technology helps students and and give new ideas about learning,easy to learn,,Yes,Yes,,Yes,enhance learning capacity,Yes,Yes,boost the students hidden skills,Yes,Yes,Yes,Yes,LMS system can improve the learner,advanced learning can improve the overall learning of pupils,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Male,Ghulmet nagar,Nagar,monthly,technology helps students and and give new ideas about learning,easy and fast learning,,Yes,Yes,because of different and easy path,Yes,technology change learning skill as well ,Yes,Yes,because of technology,Yes,Yes,Yes,Yes,internet issues,technology is very important in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Aliabad,Hunza,several times a week,,,,Yes,No,,Yes,,No,Yes,,Yes,Yes,Yes,Yes,,,slightly,Yes,No,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,41,Female,Aliabad,Hunza,several times a week,,"Digital work,time utilization by use of technological resources.","Electrical problem,time consuming,lack of resources .",Yes,Yes,"Technology has change a lot in our way of learning because we are using technology only to find out problems but we are not using our own mind.it is also very good,we can find out more diffical problem.",Yes,The potiental impact on our social skills and relationship is that we can improve our skills and we can communicate with our relative far form us but it is also making us far from our relatives.,Yes,Yes,,No,Yes,Yes,Yes,"Computer ,laptop and tablet.",It will fulfill the students dream,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,18,Female,Nagar Khas,Nagar,several times a week,"through technology primary students learn from vedios, practicals and colorful things",it is good for primary school because it prefer more practical,,Yes,Yes,it saves time and gives us more knowledge ,Yes,we can earn money through freelancing and we can contact with different websites for the pourpose of jobs,Yes,Yes,,Yes,Yes,Yes,No,,it will become disaster for students,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"yes, Technology can best support the learning objective of primary students in this era of modern technology, without technology studennts cannot face daily life challenges",students become aware about technology at early stage,Government policies and financial challengies are hurdle for primary level,Yes,No,we can learn many things at school level,Yes,I am using technology for Freelancing and other skills.,Yes,Yes,Students try and apply whatever they learn at school,Yes,Yes,Yes,Yes,Improvement and advancement of technology,applying modern techniques,slightly,Yes,Yes,No,Yes,Negative,Negative,Positive,Positive,Negative
Parent,44,Male,Nilt nagar,Nagar,several times a week,technology can best for the primary students provide information,,,No,No,no,No,,Yes,Yes,technology motivates students by creative things such as gaming and cartoons,No,Yes,No,Yes,"computer, interactive whiteboard, educational software",,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,41,Female,Karimabad,Hunza,weekly,,Learn quickly lesson and student give much more importance to technology.,Enhance thinking skills and think on result enciendly.,Yes,Yes,No do not enhance the curriculum content and lose eye sight.,No,Technology disconnect the social skill and relationship.,No,No,Do not support the above mentioned skills.,No,No,No,No,Laptop and LCD,Student will totally divert toward the technology.,moderately,No,No,No,No,Positive,Positive,Negative,Negative,Negative
Student,20,Female,Nagar Khas,Nagar,daily,yes technology is best source of learning,,,Yes,No,in a very organized way we get things from technology related to any problem,Yes,the impact of technology use depend on the way we use. If we use it in positive way we get more benefits.we are globally connected with each other,Yes,Yes,,Yes,Yes,Yes,No,,,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,41,Female,Karimabad,Hunza,weekly,,Learn quickly lesson and student give much more importance to technology.,Enhance thinking skills and think on result enciendly.,Yes,Yes,No do not enhance the curriculum content and lose eye sight.,No,Technology disconnect the social skill and relationship.,No,No,Do not support the above mentioned skills.,No,No,No,No,Laptop and LCD,Student will totally divert toward the technology.,moderately,No,No,No,No,Positive,Positive,Negative,Negative,Negative
Parent,40,Female,Nagar Khas,Nagar,daily,expert in modern education,,,No,Yes,,Yes,,Yes,No,through technology new ideas generate,Yes,No,Yes,Yes,all time provide network,technology should be using in primary eduaction,moderately,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,41,Male,Nagar Khas,Nagar,monthly,,it attract student and provide information quickly,cannot use technology properly,Yes,No,"technology stimulates students sense, animated graphics clear their concepts",Yes,by using social media we can improve our social skills by watching vedios,No,Yes,by using graphic tools their creativity skills increased,Yes,Yes,Yes,Yes,projector will be beneficial fro students,technology improve learning and teachning,very,Yes,No,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,yes technology provide problem solving ideas and support in learning,knowledgs,"light issues, and internet",Yes,No,fast learning,Yes,it provides lots of contents we can learn through many ways,Yes,Yes,,Yes,Yes,Yes,Yes,,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,38,Female,Nagar Khas,Nagar,rarely,"technology is one of best and play vital role in learning, provide attrctive and deep knowledge",need of current era which help to get attention of studets ,"space issue, financial problems, and management",Yes,Yes,today all students are solve problem from tecgnology get all kind of knowledge ,Yes,,No,Yes,"it resolves issues and quick access, huge knowledge on student focus",Yes,Yes,Yes,No,"multimedia, sound system, and internet connection",with the passage of time technology will increase and developed,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,,"Time utilization, better understanding and comperhensive learning.",Electrical problem and lack of resources.,Yes,Yes,It has made easeirs to learn todays words.,Yes,,Yes,Yes,It can incrases digital lictearcy and it can enhance communication with other world.,No,Yes,Yes,Yes,Time management research development and simplying task.,"It can create increament reliance, can enhance digital grading systems.",moderately,Yes,Yes,No,No,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,,several times a week,,,,Yes,No,,Yes,,Yes,Yes,,Yes,Yes,Yes,No,,,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Karimabad,Hunza,daily,,"Integration,real stories and interaction intellectual information.",social media can effectively involve if it is missed use.,Yes,No,It enhance our lesson activities.,Yes,Time limitation restuction.,Yes,Yes,It create critical thinking and develop a holistic approch by seeing the object from real life or daily life.,Yes,Yes,Yes,Yes,Integration labs are benefical for lesson.,Effective lesson design by the teacher using technology like LMS.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Parent,34,Female,Nagar Khas,Nagar,daily,through technology students achieve all goals,,,No,No,,No,,No,No, N/A,No,Yes,Yes,Yes,,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Female,Rural ,Nagar,daily,"Students learn better 
","It is beneficial for both teachers and students they can easily get information 

","Access to the relevant knowledge, 
support and students engagement ",No,No,"Technology enables new ways of learning 
",No,"Technology totally disturbs the social relationships 
",No,Yes,"Technology provides the platform where everyone can nourish their skills 
",No,No,Yes,No,"Library, Computer Lab and Multimedia 
","Specialized training for teachers in school 
",extremely,Yes,No,Yes,No,Positive,Positive,Positive,Negative,Positive
Teacher,40,Female,Nilt nagar,Nagar,weekly,obviously technology is a best way of learning ,usings books in primary education,,No,No,NO,Yes,gap between family and work,Yes,Yes,,Yes,No,No,Yes,multimedia and light ,,very,Yes,Yes,No,Yes,Positive,Negative,Negative,Negative,Positive
Student,20,Female,Nagar Khas,Nagar,daily,yes technology is best source of learning,,,Yes,No,in a very organized way we get things from technology related to any problem,Yes,the impact of technology use depend on the way we use. If we use it in positive way we get more benefits.we are globally connected with each other,Yes,Yes,,Yes,Yes,Yes,No,,,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nilt nagar,Nagar,several times a week,obviously technology is a best way of learning ,,,Yes,No,,Yes,,No,No,multimedia learning enviornment enable student to apply knowledge in real world contents,Yes,Yes,Yes,Yes,"internet, LEDs",it will be good in future and technology will be enhanced,moderately,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,27,Female,Aliabad,Hunza,weekly,,,,Yes,Yes,"Technology change the way of learning we get help from technology to enhance our skill ,we take online classes and also online business.",Yes,Technology impact on our social skill we cant work on our skills it is also wastege of time and there is also gap between family members.,Yes,Yes,,Yes,Yes,Yes,No,,,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,36,Male,Rural ,Nagar ,several times a week,"It helps educators to improve their teaching methods and allows students to enhance their learning experience
","Incorporate different learning styles
","Reduced social interaction and internet access 
",No,No,"I solve my problems in easy way
",Yes,"Isolation and hindering of students ability 
",Yes,Yes,"Technology acts as a treasure of educational opportunities 
",No,No,No,No,WiFi and internet access ,"May be in Future technology become in the place of humans 
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,,,,Yes,Yes,The technology change the way of learning from technology it give us new ideas and elobrate our vocablory it helps us to thing more and increase our knowledge.,Yes,The potential impact of technology in your social skills and relationship their will be a gap between family and family the children keep away from there parent and wastage of time .,Yes,Yes,,Yes,Yes,Yes,Yes,,,not at all,No,Yes,Yes,No,Positive,Negative,Positive,Negative,Positive
Teacher,35,Male,Ghulmet nagar,Nagar,monthly,technology helps students and and give new ideas about learning,easy and fast learning,,Yes,Yes,because of different and easy path,Yes,technology change learning skill as well ,Yes,Yes,because of technology,Yes,Yes,Yes,Yes,internet issues,technology is very important in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,several times a week,,,,Yes,No,,Yes,social gap between family and work,No,Yes,it helps the student and it will five ideas and road maps,Yes,Yes,Yes,Yes,yes because a child enjoy and learn new things from vedios,in future the child learn from technology and no any concept of teacher,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"we can use the techonology equipments in primary level, some time to improve the education",mulimedia can use primary school education for the effective learning,with the help of technology we can enhance the primary level of education,No,No,technology is a tool which change learning skill as well,Yes,technology is a most potential which impact on our skill,No,Yes,off cousre technology can help me all aspect of the primry level,Yes,No,Yes,No,multimedia and use of internet facility,technology help the overthinking level ,very,Yes,No,Yes,No,Negative,Positive,Positive,Positive,Positive
Student,20,Female,Nagar Khas,Nagar,daily,yes technology is best source of learning,,,Yes,No,in a very organized way we get things from technology related to any problem,Yes,the impact of technology use depend on the way we use. If we use it in positive way we get more benefits.we are globally connected with each other,Yes,Yes,,Yes,Yes,Yes,No,,,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Parent,37,Female,Nilt nagar,Nagar,monthly,student can use interactive games to reinforce reading skills,enhance memorization,inflation and maintainance,Yes,No,,Yes,enhance learning capacity,Yes,Yes,"problem solving skills, understanding skills",Yes,Yes,Yes,Yes,projector and multimedia,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,17,Female,Jafarabad,Nagar,weekly,with the help of technology primary level of students can easily solve their problem and understand easily,usings books in primary education,"light issues, and internet",Yes,Yes,fast learning and no wastage of time,No,we can easily communicate with our relatives and friends,Yes,Yes,by enhancing much interest,Yes,Yes,Yes,Yes,LEDs and AI genertated tools,application of classes to advanced language,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,The use of technology during whole class interaction can foster. Students can use spelling phonetic and reading skill.,"Students develop crucial skills such as digital literacy, critcal thinking creativity.",Technology in education can reduce face to face social interaction student might also miss developing imporant communication and team works skills.,Yes,No,Student can collabrate on group project using technology based tools use interactive displays to do fun games and with there larning materials .,Yes,The technology impact on our social skill its also impact on ours studys and online works it also impact on skills and relationship.,Yes,Yes,"To improve your crtical thiking, you need to be able to filter verity and synthesize the information you take online .",Yes,Yes,Yes,No,Prepare student for the future we connect with student any time .,Student can practice desnging prolem solving. ,very,Yes,Yes,No,Yes,Positive,Negative,Negative,Positive,Negative
Teacher,31,Female,Aliabad,Hunza,weekly,,"Provide computer to student,provide Wifi and provide LEDs.","They are not ready to write something,they are only conceputal.",Yes,Yes,We easily convey the theme through vedioes.,No,There is gap between students and teacher when we raises question they don’t answer they learn from net.,Yes,Yes,By teaching computer science from class one.enhance the basic skill of a computer science.,Yes,Yes,No,Yes,"LEDs,internet",Technology disconnect the students from the relation and other sides.,moderately,Yes,Yes,No,No,Positive,Negative,Positive,Negative,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"we can use the techonology equipments in primary level, some time to improve the education",mulimedia can use primary school education for the effective learning,with the help of technology we can enhance the primary level of education,No,No,technology is a tool which change learning skill as well,Yes,technology is a most potential which impact on our skill,No,Yes,off cousre technology can help me all aspect of the primry level,Yes,No,Yes,No,multimedia and use of internet facility,technology help the overthinking level ,very,Yes,No,Yes,No,Negative,Positive,Positive,Positive,Positive
Teacher,35,Female,Karimabad,Hunza,weekly,They can enhane there four skills,"Tying improve, listening issues and they build speaking power.",Inn our area there is internet issues and weak signal.,Yes,No,We engage students through technology with different activities,Yes,Our relstionship is some time weak and and sometime we build strong relation because of internet,Yes,Yes,when they learn  education chips and vodies.,Yes,Yes,Yes,No,We need internet access in our class computer and LED.,"AC, electricity , LED and proper heating system.",extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Negative
Teacher,41,Female,Aliabad,Hunza,several times a week,,"Digital work,time utilization by use of technological resources.","Electrical problem,time consuming,lack of resources .",Yes,Yes,"Technology has change a lot in our way of learning because we are using technology only to find out problems but we are not using our own mind.it is also very good,we can find out more diffical problem.",Yes,The potiental impact on our social skills and relationship is that we can improve our skills and we can communicate with our relative far form us but it is also making us far from our relatives.,Yes,Yes,,No,Yes,Yes,Yes,"Computer ,laptop and tablet.",It will fulfill the students dream,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,44,Male,Nilt nagar,Nagar,several times a week,technology can best for the primary students provide information,,,No,No,no,No,,Yes,Yes,technology motivates students by creative things such as gaming and cartoons,No,Yes,No,Yes,"computer, interactive whiteboard, educational software",,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Student,17,Male,Nagar Khas,Nagar,several times a week,it is quite useful it always help us in understanding content,the student learn from vedios,possibly thay can become mental illness,Yes,No,yes it provide different opportunities,Yes,it orovide lots of content we can learn many great things from that ,Yes,Yes,"well different platforms like IT, apps and games",Yes,Yes,Yes,Yes,multimedia and excel,well we should introduce it in every school,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,41,Female,Aliabad,Hunza,several times a week,,"Digital work,time utilization by use of technological resources.","Electrical problem,time consuming,lack of resources .",Yes,Yes,"Technology has change a lot in our way of learning because we are using technology only to find out problems but we are not using our own mind.it is also very good,we can find out more diffical problem.",Yes,The potiental impact on our social skills and relationship is that we can improve our skills and we can communicate with our relative far form us but it is also making us far from our relatives.,Yes,Yes,,No,Yes,Yes,Yes,"Computer ,laptop and tablet.",It will fulfill the students dream,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Aliabad,Hunza,weekly,,"Provide computer to student,provide Wifi and provide LEDs.","They are not ready to write something,they are only conceputal.",Yes,Yes,We easily convey the theme through vedioes.,No,There is gap between students and teacher when we raises question they don’t answer they learn from net.,Yes,Yes,By teaching computer science from class one.enhance the basic skill of a computer science.,Yes,Yes,No,Yes,"LEDs,internet",Technology disconnect the students from the relation and other sides.,moderately,Yes,Yes,No,No,Positive,Negative,Positive,Negative,Positive
Teacher,32,Female,Jafarabad,Nagar,several times a week,technology helps students and and give new ideas about learning,easy to learn,,Yes,Yes,,Yes,enhance learning capacity,Yes,Yes,boost the students hidden skills,Yes,Yes,Yes,Yes,LMS system can improve the learner,advanced learning can improve the overall learning of pupils,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Nagar Khas,Nagar,several times a week,it enhance the listening skill and thinking,it enhance memorization,internet access information,Yes,No,variety of ideas and activities generates,Yes,technology is best source of getting things,Yes,Yes,"through stories, sktches, and pictures",Yes,Yes,Yes,Yes,offline vedios,technology shall replace teachers in future,extremely,Yes,Yes,No,Yes,Positive,Positive,Positive,Positive,Negative
Student,17,Female,Nagar Khas,Nagar,several times a week,technology support the learning objectives in primary education that can help student to develop digital literacy skills,it can enhaces engagement make learning more effective,overall waste of time,Yes,Yes,"technology change the curriculum and content, no need of teacher ",No,build the communication and thinking skills,Yes,Yes,,Yes,Yes,Yes,No,,computer lab and other technology is important for students,not at all,Yes,No,Yes,No,Positive,Negative,Positive,Positive,Positive
Teacher,29,Female,Rural ,Nagar,several times a week,"Yes technology should be used in primary section it motivates children 
","Enhancement of knowledge 
","Language barrier,and lack of cooperation 
",Yes,No,"Technology provides easy platforms for us to understand better 
",Yes,"With the help of technology I improved my social skills 
",Yes,Yes,Learning by doing ,Yes,Yes,Yes,No,"Projector, WiFi system and proper electricity 
","Library and internet access 
",extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Female,Karimabad,Hunza,several times a week,They can learn new staff.,Listening skill and speaking skill.,Due to weak signls we rae facing challenges.,Yes,No,We easy convey message through technology.,Yes,We are always in connect with the good relation.,Yes,Yes,When they watched educational vedioes.,No,Yes,Yes,No,LEDs in every class with internet .,"LED,computer ,electricity and digital classes.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,41,Male,Nagar Khas,Nagar,rarely,"Yes, Technology can suppport as well as teacher to achieve objectives ",students can well educate about technology,Net access are not forever,Yes,No,It helps us to excess deep knowoledge relevant to filed  ,Yes,It helps  to connect with teachers and students ,Yes,Yes,using different Apps and Games,Yes,Yes,Yes,Yes,Technology related trained teachers is best option,in future students will excess resources through internet,not at all,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,30,Male,Nagar Khas,Nagar,weekly,"yes, Technology can suppport in learning objectives  of primary studennts in many aspects like audios, visual , Ads and documents","By using audios, visual, ads , computer, and projectors",in most of school computer is available and other technology accessories,Yes,Yes,,Yes,"By watching, videos on social skills that improve skills",No,Yes,"yes by playing games,problem skills and improvement",Yes,Yes,Yes,No,Projectors and Audio visual Aids.,Government should provide  internet connection in school,slightly,Yes,No,Yes,No,Positive,Positive,Positive,Positive,Positive
Teacher,35,Female,Nilt nagar,Nagar,several times a week,technology helps students and and give new ideas about learning,improve understanding and develop digital skills,infrastructure and light issues,Yes,No,,Yes,best source of getting things,Yes,Yes,technology needs us to develop critical thinking,Yes,Yes,No,No,"multimedia, computer",hold immense promise with posibilities,moderately,Yes,No,No,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,28,Female,Rural ,Nagar ,several times a week,"Visual poems and many other educational programs 
","Technology using increase understandings
",Medical issues ,No,No,"Technology helps me in better understanding of the content 
",Yes,"Negative impacts on social relationships
",Yes,Yes,"Self based learning improves creativity 
",Yes,No,Yes,No,"Power point lectures and visual aids related to the content 
",,very,Yes,Yes,No,No,Positive,Negative,Positive,Negative,Positive
Teacher,31,Female,Aliabad,Hunza,several times a week,,,,Yes,No,,Yes,,No,Yes,,Yes,Yes,Yes,Yes,,,slightly,Yes,No,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,27,Female,Aliabad,Hunza,weekly,,,,Yes,Yes,"Technology change the way of learning we get help from technology to enhance our skill ,we take online classes and also online business.",Yes,Technology impact on our social skill we cant work on our skills it is also wastege of time and there is also gap between family members.,Yes,Yes,,Yes,Yes,Yes,No,,,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Student,17,Female,Jafarabad,Nagar,weekly,technology can help students to solve their problems,it enhnace learning,,Yes,No,it provide  us everything promptly,Yes,become part of our life day by day,Yes,Yes,technology needs us to develop critical thinking,Yes,Yes,Yes,Yes,LEDs and lectures are important ,,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Parent,49,Male,Nagar Khas,Nagar,several times a week,technology can best support the learning objectives of primary students because it save time and resources,saving of time and resources ,there are erergetic resources ,Yes,No,,Yes,,Yes,Yes,creativity skills are must applied,Yes,No,Yes,No,experienced man power should be avaiable ,we thought all activities will bw promoted,moderately,No,No,No,Yes,Negative,Positive,Positive,Positive,Positive
Teacher,35,Female,Nilt nagar,Nagar,several times a week,student can use interactive games to reinforce reading skills,educational technology enhance the learning experience providing greater accesibility,technology in education can reduce face to face,Yes,No,,Yes,technology change learning skill as well ,Yes,Yes,,Yes,Yes,Yes,Yes,"multimedia, computer",hold immense promise with posibilities,very,No,No,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Nagar Khas,Nagar,weekly,yes student learn more things then without tschnology,it provides indepth knowledge and quick access to every problem solutions,financials issues by gagets and its maintainace,Yes,Yes,now I'm not much depend on teacher because of teachnology,Yes,we can know contact with teachers and teacher can manage all things out of class,Yes,Yes,technology should install in school and give training to both students and teachers,Yes,Yes,Yes,Yes,"computer Lab, projector and sound system ",with the passage of time technology will increase and developed,very,Yes,Yes,Yes,Yes,Positive,Negative,Negative,Positive,Positive
Teacher,31,Female,Karimabad,Hunza,weekly,,Lesson become more easier for students.,"Issue of power, lenhghty courses and content based examination system.",Yes,No,Technology have many change in our world e.g robots can work the human place.,Yes,Robots can alone on human place.it can ipact on our social skill.robots can perform individual task.,Yes,Yes,"Quizes avaible according to their lesson,activities design programm enhance critical thinking,creativity and problem solving.",Yes,Yes,Yes,Yes,"Learning management system ,google classroom.","As AI is replacing every profession  with passage of time,reducing theoritical and traditional approach enhance digital litracy like robotics at the primary level.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Karimabad,Hunza,monthly,,Create interest for education.,Lack of internet in area and old version.,Yes,Yes,New ways of learning,Yes,Body language nad facial expression.,Yes,Yes,enhance critical thinking of students solve technical problems  and research base learning.,Yes,Yes,Yes,Yes,Reduce time and more fun.,"Online gaming ,technical issues and budget issues.",moderately,No,No,No,No,Positive,Negative,Positive,Negative,Positive
Student,17,Female,Jafarabad,Nagar,weekly,with the help of games and puzzles primary students can learn in a best way,help to learn things in modern way,internet facility is unavailable,Yes,No,provide online opportunities,Yes,it provide lot of content,No,Yes,,Yes,Yes,Yes,Yes,LEDs and projectors,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Male,Nagar Khas,Nagar,weekly,technology is best resources of learning it quick acess and provide in depth  knwoldge about lesson,students learns how to use tecnology and and its importance with the help of such facilities ,lack of awarness and training,Yes,No,it provide  us everything promptly,Yes,It has  many great lessons,No,Yes,It help to learn the things quickly. Students know how to use technology,No,No,Yes,No,"Computer Lab, Multimedia, and other Basic equipment.",in future students will totally depend on technology,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,29,Male,Near Nagar chowk,Nagar,several times a week,Technology plays vital role in primary education ,"Learning easily through graphics 
","Students face difficulty in managing technology 
",No,No,"Totally depends on technology 
",Yes,"We can get information from communication 
",No,Yes,"Providence of proper IT tools and trainings
",Yes,Yes,No,No,"Proper computer Lab, Multimedia,and internet connection 
","Technology should improve in school
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
